url,clicks_90d,impressions_90d,disposition,redirect_target
/tools/property-tax-estimator/wa/king-county,0,2342,redirect,/tools/property-tax-estimator
/tools/property-tax-estimator/wa/king-county/seattle,1,1470,redirect,/tools/property-tax-estimator
/tools/property-tax-estimator/wa/king-county/bellevue,0,1399,redirect,/tools/property-tax-estimator
/tools/property-tax-estimator/ca/santa-clara-county/san-jose,0,974,redirect,/tools/property-tax-estimator
/tools/property-tax-estimator/ca/orange-county/newport-beach,1,691,redirect,__KEEP__
/tools/property-tax-estimator/ca/san-mateo-county/san-mateo,1,660,redirect,/tools/property-tax-estimator
/tools/property-tax-estimator/ca/san-francisco-county/san-francisco,0,660,redirect,/tools/property-tax-estimator
/tools/property-tax-estimator/ca/marin-county,0,514,redirect,/tools/property-tax-estimator
/tools/property-tax-estimator/wa/king-county/sammamish,0,443,redirect,/tools/property-tax-estimator
/blog/home-equity-suburban-king-county-2026,0,402,redirect,/areas/washington
/blog/home-equity-greater-seattle-guide-2026,1,398,redirect,/areas/washington
/blog/wholesale-mortgage-broker-tech-corridor-silicon-valley-2026,0,340,redirect,/areas/california
/tools/property-tax-estimator/wa/king-county/renton,0,339,redirect,/tools/property-tax-estimator
/blog/reverse-mortgage-south-sound-affluent-wa-2026,0,271,410,
/blog/wholesale-mortgage-broker-seattle-eastside-2026,0,256,410,
/tools/property-tax-estimator/ca/santa-clara-county/mountain-view,0,256,410,
/tools/property-tax-estimator/ca/santa-clara-county/palo-alto,1,237,410,
/tools/property-tax-estimator/ca/san-mateo-county/south-san-francisco,0,229,410,
/blog/reverse-mortgage-north-sound-islands-2026,0,220,410,
/blog/reverse-mortgage-greater-seattle-guide-2026,0,193,410,
/tools/property-tax-estimator/ca/marin-county/mill-valley,3,185,410,
/blog/home-equity-premium-east-bay-sf-2026,1,174,410,
/tools/property-tax-estimator/ca/san-mateo-county/daly-city,1,174,410,
/blog/reverse-mortgage-suburban-king-county-2026,1,172,410,
/blog/home-equity-bay-area-peninsula-guide-2026,0,165,410,
/blog/home-equity-urban-seattle-premium-2026,0,164,410,
/tools/property-tax-estimator/wa/king-county/kent,0,157,410,
/tools/property-tax-estimator/ca/santa-clara-county/los-gatos,1,149,410,
/blog/wholesale-mortgage-broker-ultra-luxury-eastside-wa-2026,0,143,410,
/blog/home-equity-south-sound-guide-2026,0,143,410,
/blog/home-equity-premium-silicon-valley-2026,0,142,410,
/blog/home-equity-ultra-luxury-eastside-wa-2026,0,131,410,
/areas/newport-beach-mortgage-broker,0,124,redirect,/blog/newport-beach-mortgage-guide-2026
/blog/home-equity-north-sound-guide-2026,0,122,410,
/tools/property-tax-estimator/wa/king-county/burien,0,108,410,
/tools/property-tax-estimator/wa/king-county/kirkland,0,107,410,
/tools/property-tax-estimator/ca/marin-county/san-rafael,2,105,410,
/tools/property-tax-estimator/ca/los-angeles-county/rancho-palos-verdes,0,102,410,
/blog/wholesale-mortgage-broker-bay-area-peninsula-2026,1,100,410,
/blog/reverse-mortgage-premium-east-bay-sf-2026,0,91,410,
/blog/wholesale-mortgage-broker-coastal-sd-inland-premium-2026,0,90,410,
/blog/wholesale-mortgage-broker-bay-area-guide-2026,1,83,redirect,/blog/wholesale-mortgage-broker-california-guide-2026
/blog/wholesale-mortgage-broker-premium-east-bay-sf-2026,0,78,410,
/blog/reverse-mortgage-seattle-eastside-guide-2026,0,78,410,
/blog/wholesale-mortgage-broker-premium-eastside-wa-2026,0,77,410,
/blog/reverse-mortgage-ultra-luxury-eastside-wa-2026,0,74,410,
/blog/home-equity-premium-eastside-wa-2026,0,73,410,
/blog/wholesale-mortgage-tech-corridor-eastside-wa-2026,0,73,410,
/blog/home-equity-south-sound-affluent-2026,0,73,410,
/blog/home-equity-coastal-sd-inland-premium-2026,0,70,410,
/blog/home-equity-tech-corridor-eastside-wa-2026,0,63,410,
/blog/wholesale-mortgage-broker-premium-silicon-valley-2026,0,61,410,
/blog/home-equity-tech-corridor-silicon-valley-2026,0,58,410,
/blog/reverse-mortgage-coastal-sd-inland-premium-2026,0,51,410,
/tools/property-tax-estimator/wa/king-county/kenmore,0,50,410,
/blog/home-equity-seattle-eastside-guide-2026,0,50,410,
/blog/home-equity-north-sound-islands-wa-2026,0,50,410,
/blog/home-equity-ultra-luxury-marin-2026,0,46,410,
/blog/reverse-mortgage-peninsula-ultra-luxury-2026,0,45,410,
/tools/property-tax-estimator/wa/king-county/seatac,0,45,410,
/blog/home-equity-peninsula-ultra-luxury-2026,0,43,410,
/blog/reverse-mortgage-tech-corridor-eastside-wa-2026,0,40,410,
/blog/reverse-mortgage-ultra-luxury-marin-2026,0,37,410,
/blog/reverse-mortgage-premium-silicon-valley-2026,0,37,410,
/tools/dscr-qualification-calculator/ca/marin-county,0,36,410,
/heloc-specialist-orange-county,0,34,redirect,/heloc-orange-county
/tools/bank-statement-loan-estimator/ca/san-francisco-county/san-francisco,0,34,410,
/tools/dscr-qualification-calculator/ca/san-mateo-county,0,33,410,
/blog/wholesale-mortgage-broker-greater-seattle-2026,0,32,410,
/blog/reverse-mortgage-bay-area-peninsula-guide-2026,0,31,410,
/tools/property-tax-estimator/wa/king-county/covington,0,31,410,
/blog/reverse-mortgage-tech-corridor-silicon-valley-2026,0,29,410,
/blog/wholesale-mortgage-broker-palos-verdes-peninsula-2026,0,26,410,
/blog/home-equity-palos-verdes-peninsula-2026,0,26,410,
/blog/wholesale-mortgage-broker-marin-county-2026,0,24,410,
/tools/dscr-rent-analyzer/ca/san-mateo-county/daly-city,1,21,410,
/blog/home-equity-la-south-bay-palos-verdes-guide-2026,0,21,410,
/blog/reverse-mortgage-seattle-eastside-wa-2026,0,21,410,
/blog/wholesale-mortgage-broker-suburban-king-county-2026,0,21,410,
/blog/wholesale-mortgage-broker-ultra-luxury-marin-2026,1,19,410,
/blog/wholesale-mortgage-broker-peninsula-ultra-luxury-2026,0,19,410,
/blog/reverse-mortgage-premium-eastside-wa-2026,0,18,410,
/tools/cash-out-limit-calculator/wa/king-county/seattle,0,18,410,
/tools/cash-out-limit-calculator/ca/marin-county,0,16,410,
/blog/reverse-mortgage-marin-county-guide-2026,0,14,410,
/blog/home-equity-newport-beach-2026,0,14,redirect,/home-equity-guide
/tools/cash-out-limit-calculator/ca/santa-clara-county,0,14,410,
/tools/dscr-rent-analyzer/ca/san-francisco-county,0,14,410,
/tools/dscr-qualification-calculator/wa/king-county/auburn,0,13,410,
/blog/home-equity-bellevue-wa-2026,0,13,redirect,/blog/home-equity-seattle-eastside-wa-2026#bellevue
/tools/cash-out-limit-calculator/ca/san-mateo-county,0,13,410,
/tools/dscr-rent-analyzer/ca/san-mateo-county/foster-city,0,13,410,
/blog/reverse-mortgage-palos-verdes-peninsula-2026,0,11,410,
/blog/home-equity-seattle-eastside-wa-2026,0,11,410,
/tools/bank-statement-loan-estimator/ca/santa-clara-county/san-jose,0,11,410,
/blog/reverse-mortgage-la-south-bay-palos-verdes-guide-2026,0,10,410,
/tools/equity-comparison-calculator/ca/santa-clara-county/morgan-hill,0,10,410,
/tools/max-heloc-calculator/wa/king-county/bellevue,1,9,410,
/tools/max-heloc-calculator/ca/santa-clara-county,0,9,410,
/tools/cash-out-limit-calculator/ca/san-mateo-county/san-mateo,0,9,410,
/tools/bank-statement-loan-estimator/ca/san-mateo-county/redwood-city,0,9,410,
/tools/dscr-qualification-calculator/wa/king-county/maple-valley,0,8,410,
/blog/home-equity-marin-county-guide-2026,0,8,410,
/blog/reverse-mortgage-north-sound-guide-2026,0,8,410,
/tools/max-heloc-calculator/ca/santa-clara-county/gilroy,0,8,410,
/tools/cash-out-limit-calculator/ca/santa-clara-county/santa-clara,0,8,410,
/tools/dscr-qualification-calculator/ca/san-mateo-county/san-mateo,0,8,410,
/tools/dscr-rent-analyzer/ca/santa-clara-county/campbell,0,8,410,
/tools/dscr-qualification-calculator/ca/santa-clara-county/mountain-view,0,8,410,
/tools/equity-comparison-calculator/wa/king-county/seattle,0,8,410,
/tools/bank-statement-loan-estimator/wa/king-county/burien,0,8,410,
/tools/equity-comparison-calculator/ca/santa-clara-county,0,7,410,
/articles/newport-beach-mortgage-guide-2026,0,7,redirect,/blog/newport-beach-mortgage-guide-2026
/tools/cash-out-limit-calculator/ca/santa-clara-county/mountain-view,0,7,410,
/tools/dscr-rent-analyzer/wa/king-county/issaquah,0,7,410,
/tools/max-heloc-calculator/wa/king-county/maple-valley,0,7,410,
/tools/dscr-qualification-calculator/ca/santa-clara-county/milpitas,0,7,410,
/blog/wholesale-mortgage-broker-la-south-bay-palos-verdes-2026,0,6,410,
/tools/dscr-rent-analyzer/wa/king-county/auburn,0,6,410,
/tools/equity-comparison-calculator/ca/santa-clara-county/milpitas,0,6,410,
/tools/cash-out-limit-calculator/ca/marin-county/mill-valley,0,6,410,
/blog/reverse-mortgage-south-sound-guide-2026,0,6,410,
/tools/cash-out-limit-calculator/wa/king-county/kent,0,6,410,
/tools/dscr-qualification-calculator/ca/san-francisco-county,0,6,410,
/tools/max-heloc-calculator/wa/king-county/mercer-island,0,6,410,
/tools/cash-out-limit-calculator/ca/santa-clara-county/palo-alto,0,5,410,
/tools/max-heloc-calculator/ca/santa-clara-county/milpitas,0,5,410,
/tools/dscr-qualification-calculator/wa/king-county/sammamish,0,5,410,
/tools/dscr-rent-analyzer/ca/marin-county/san-rafael,0,5,410,
/blog/reverse-mortgage-urban-seattle-premium-2026,0,5,410,
/tools/cash-out-limit-calculator/wa/king-county/kirkland,0,5,410,
/tools/cash-out-limit-calculator/wa/king-county,0,5,410,
/tools/dscr-qualification-calculator/ca/marin-county/mill-valley,0,5,410,
/tools/dscr-rent-analyzer/ca/san-mateo-county/san-mateo,0,5,410,
/tools/max-heloc-calculator/ca/san-mateo-county,0,5,410,
/tools/equity-comparison-calculator/wa/king-county/redmond,0,5,410,
/tools/equity-comparison-calculator/wa/king-county/renton,0,5,410,
/tools/dscr-qualification-calculator/wa/king-county/kent,0,4,410,
/tools/equity-comparison-calculator/ca/santa-clara-county/los-gatos,0,4,410,
/blog/home-equity-palos-verdes-2026,0,4,410,
/tools/max-heloc-calculator/ca/santa-clara-county/palo-alto,0,4,410,
/tools/dscr-rent-analyzer/ca/los-angeles-county/rancho-palos-verdes,0,4,410,
/blog/home-equity-laguna-beach-2026,0,4,redirect,/home-equity-guide
/tools/dscr-qualification-calculator/ca/marin-county/san-rafael,0,4,410,
/tools/dscr-rent-analyzer/wa/king-county/kenmore,0,4,410,
/tools/dscr-rent-analyzer/wa/king-county/kent,0,4,410,
/tools/equity-comparison-calculator/ca/santa-clara-county/mountain-view,0,4,410,
/tools/dscr-qualification-calculator/wa/king-county/seattle,0,4,410,
/tools/dscr-qualification-calculator/ca/san-mateo-county/redwood-city,0,4,410,
/tools/equity-comparison-calculator/wa/king-county/auburn,0,4,410,
/tools/dscr-qualification-calculator/wa/king-county/bellevue,0,4,410,
/tools/bank-statement-loan-estimator/ca/santa-clara-county/morgan-hill,0,4,410,
/tools/bank-statement-loan-estimator/wa/king-county/seattle,0,4,410,
/tools/equity-comparison-calculator/ca/santa-clara-county/san-jose,0,4,410,
/luxury-markets,0,0,410,
/luxury-markets/waterfront-homes-mortgage-broker,0,0,410,
/luxury-markets/ultra-luxury-estates-mortgage-broker,0,0,410,
/luxury-markets/golf-course-homes-mortgage-broker,0,0,410,
/areas/newport-beach-neighborhoods/balboa-island-mortgage-broker,0,0,410,
/areas/newport-beach-neighborhoods/lido-isle-mortgage-broker,0,0,410,
/areas/newport-beach-neighborhoods/newport-coast-mortgage-broker,0,0,410,
/areas/newport-beach-neighborhoods/corona-del-mar-mortgage-broker,0,0,410,
/blog/home-equity-affluent-marin-2026,0,0,410,
/blog/home-equity-ca-pv-a-2026,0,0,410,
/blog/home-equity-ca-pv-b-2026,0,0,410,
/blog/home-equity-foothill-luxury-2026,0,0,410,
/blog/home-equity-la-westside-luxury-2026,0,0,410,
/blog/home-equity-santa-barbara-luxury-2026,0,0,410,
/blog/home-equity-western-la-luxury-2026,0,0,410,
/blog/newport-coast-mortgage-guide-2026,0,0,410,
/blog/palos-verdes-cash-out-refinance-2026,0,0,410,
/blog/reverse-mortgage-affluent-marin-2026,0,0,410,
/blog/reverse-mortgage-bellevue-wa-2026,0,0,redirect,/blog/reverse-mortgage-seattle-eastside-wa-2026#bellevue
/blog/reverse-mortgage-foothill-luxury-2026,0,0,410,
/blog/reverse-mortgage-la-westside-luxury-2026,0,0,410,
/blog/reverse-mortgage-palos-verdes-2026,0,0,410,
/blog/reverse-mortgage-santa-barbara-luxury-2026,0,0,410,
/blog/reverse-mortgage-western-la-luxury-2026,0,0,410,
/blog/wholesale-mortgage-92657-newport-coast-2026,0,0,410,
/blog/wholesale-mortgage-92662-balboa-island-2026,0,0,410,
/blog/wholesale-mortgage-92663-newport-peninsula-2026,0,0,410,
/blog/wholesale-mortgage-broker-affluent-marin-2026,0,0,410,
/blog/wholesale-mortgage-broker-ca-pv-a-2026,0,0,410,
/blog/wholesale-mortgage-broker-ca-pv-b-2026,0,0,410,
/blog/wholesale-mortgage-broker-foothill-luxury-2026,0,0,410,
/blog/wholesale-mortgage-broker-la-westside-luxury-2026,0,0,410,
/blog/wholesale-mortgage-broker-urban-seattle-premium-2026,0,0,410,
/blog/wholesale-mortgage-broker-western-la-luxury-2026,0,0,410,
/areas/laguna-beach-mortgage-broker,0,0,410,
/areas/newport-beach,0,0,410,
/blog/home-equity-affluent-suburban-east-bay-2026,0,0,410,
/blog/home-equity-ca-sd-a-2026,0,0,410,
/blog/home-equity-coastal-north-sd-2026,0,0,410,
/blog/home-equity-inland-empire-affluent-2026,0,0,410,
/blog/home-equity-la-beach-cities-2026,0,0,410,
/blog/home-equity-malibu-ca-2026,0,0,410,
/blog/home-equity-pacific-palisades-ca-2026,0,0,410,
/blog/home-equity-sacramento-affluent-2026,0,0,410,
/blog/home-equity-ventura-affluent-ca-2026,0,0,410,
/blog/home-equity-wine-country-2026,0,0,410,
/blog/home-equity-wine-country-guide-2026,0,0,410,
/blog/laguna-beach-mortgage-guide-2026,0,0,410,
/blog/reverse-mortgage-affluent-suburban-east-bay-2026,0,0,410,
/blog/reverse-mortgage-coastal-north-sd-2026,0,0,410,
/blog/reverse-mortgage-ie-affluent-2026,0,0,410,
/blog/reverse-mortgage-la-beach-cities-2026,0,0,redirect,/blog/reverse-mortgage-la-south-bay-palos-verdes-guide-2026
/blog/reverse-mortgage-malibu-ca-2026,0,0,410,
/blog/reverse-mortgage-pacific-palisades-ca-2026,0,0,410,
/blog/reverse-mortgage-sacramento-affluent-2026,0,0,410,
/blog/reverse-mortgage-ventura-affluent-2026,0,0,410,
/blog/reverse-mortgage-wine-country-2026,0,0,410,
/blog/reverse-mortgage-wine-country-guide-2026,0,0,410,
/blog/wholesale-mortgage-92625-corona-del-mar-2026,0,0,410,
/blog/wholesale-mortgage-92629-dana-point-2026,0,0,410,
/blog/wholesale-mortgage-92651-laguna-beach-2026,0,0,410,
/blog/wholesale-mortgage-92660-newport-harbor-2026,0,0,410,
/blog/wholesale-mortgage-92661-newport-beach-2026,0,0,410,
/blog/wholesale-mortgage-broker-92625,0,0,redirect,/blog/wholesale-mortgage-broker-central-orange-county-2026#newport-beach
/blog/wholesale-mortgage-broker-92629,0,0,redirect,/blog/wholesale-mortgage-broker-south-orange-county-2026#dana-point
/blog/wholesale-mortgage-broker-92651,0,0,redirect,/blog/wholesale-mortgage-broker-south-orange-county-2026#laguna-beach
/blog/wholesale-mortgage-broker-92657,0,0,redirect,/blog/wholesale-mortgage-broker-central-orange-county-2026#newport-beach
/blog/wholesale-mortgage-broker-92660,0,0,redirect,/blog/wholesale-mortgage-broker-central-orange-county-2026#newport-beach
/blog/wholesale-mortgage-broker-92661,0,0,redirect,/blog/wholesale-mortgage-broker-central-orange-county-2026#newport-beach
/blog/wholesale-mortgage-broker-92663,0,0,redirect,/blog/wholesale-mortgage-broker-central-orange-county-2026#newport-beach
/blog/wholesale-mortgage-broker-affluent-suburban-east-bay-2026,0,0,410,
/blog/wholesale-mortgage-broker-ca-sd-a-2026,0,0,410,
/blog/wholesale-mortgage-broker-ca-sgv-a-2026,0,0,410,
/blog/wholesale-mortgage-broker-coastal-north-sd-2026,0,0,410,
/blog/wholesale-mortgage-broker-la-beach-cities-2026,0,0,410,
/neighborhood-guide/newport-beach-vs-laguna-beach-home-buying-guide,0,0,410,
/zip-codes/92660-newport-beach-mortgage-broker,0,0,410,
/blog/coto-de-caza-mortgage-guide-2026,0,0,410,
/blog/home-equity-beverly-hills-2026,0,0,410,
/blog/home-equity-clyde-hill-wa-2026,0,0,redirect,/blog/home-equity-seattle-eastside-wa-2026#mercer-medina
/blog/home-equity-san-marino-ca-2026,0,0,410,
/blog/reverse-mortgage-beverly-hills-2026,0,0,410,
/blog/reverse-mortgage-clyde-hill-wa-2026,0,0,redirect,/blog/reverse-mortgage-seattle-eastside-wa-2026#ultra-luxury
/blog/reverse-mortgage-medina-wa-2026,0,0,redirect,/blog/reverse-mortgage-seattle-eastside-wa-2026#ultra-luxury
/blog/reverse-mortgage-san-marino-ca-2026,0,0,410,
/blog/wholesale-mortgage-92679-coto-de-caza-2026,0,0,410,
/blog/wholesale-mortgage-broker-92679,0,0,redirect,/blog/wholesale-mortgage-broker-south-orange-county-2026
