page,clicks,impressions,ctr,position
https://www.mothebroker.com/,10,149,0.06711409395973154,10.21476510067114
https://mothebroker.com/guides/orange-county-investment-property,2,80,0.025,17.1125
https://mothebroker.com/zip-codes/92614-irvine-mortgage-broker,1,60,0.016666666666666666,9.966666666666667
https://www.mothebroker.com/heloc-orange-county,1,143,0.006993006993006993,9.846153846153847
https://mothebroker.com/areas/garden-grove-mortgage-broker,0,3,0,4.666666666666666
https://mothebroker.com/areas/irvine-neighborhoods/cypress-village-mortgage-broker,0,8,0,6.875
https://mothebroker.com/areas/irvine-neighborhoods/turtle-rock-mortgage-broker,0,4,0,4.5
https://mothebroker.com/areas/irvine-neighborhoods/university-park-mortgage-broker,0,1,0,10
https://mothebroker.com/areas/newport-beach-mortgage-broker,0,3,0,7
https://mothebroker.com/areas/seal-beach-mortgage-broker,0,34,0,5.617647058823529
https://mothebroker.com/areas/yorba-linda-mortgage-broker,0,2,0,8.5
https://mothebroker.com/areas/yorba-linda-mortgage-rates,0,48,0,8.5
https://mothebroker.com/guides/orange-county-home-buyer-guide,0,21,0,6
https://mothebroker.com/guides/orange-county-school-districts,0,3,0,5.333333333333333
https://mothebroker.com/guides/spring-2025-home-buying-guide,0,9,0,13.555555555555555
https://mothebroker.com/loan-programs/bank-statement-loans-irvine,0,61,0,9.131147540983607
https://mothebroker.com/loan-programs/fha-loans,0,1,0,9
https://mothebroker.com/loan-programs/orange-county-va-loans,0,6,0,14.166666666666666
https://mothebroker.com/zip-codes/92625-corona-del-mar-mortgage-broker,0,2,0,9.5
https://www.mothebroker.com/areas,0,5,0,5.8
https://www.mothebroker.com/areas/costa-mesa-mortgage-rates,0,1,0,23
https://www.mothebroker.com/areas/irvine-neighborhoods/northwood-mortgage-broker,0,27,0,21.296296296296298
https://www.mothebroker.com/areas/irvine-neighborhoods/turtle-rock-mortgage-broker,0,57,0,7.842105263157895
https://www.mothebroker.com/articles,0,4,0,1.75
https://www.mothebroker.com/articles/dana-point-first-time-homebuyer-guide,0,10,0,8
https://www.mothebroker.com/articles/newport-beach-mortgage-guide-2026,0,19,0,7.421052631578948
https://www.mothebroker.com/articles/orange-county-mortgage-rate-trends-august-2026,0,16,0,11.4375
https://www.mothebroker.com/articles/wholesale-vs-retail-mortgages-comparison,0,66,0,7.742424242424242
https://www.mothebroker.com/blog,0,1,0,9
https://www.mothebroker.com/blog/aliso-viejo-mortgage-guide-2026,0,11,0,16.909090909090907
https://www.mothebroker.com/blog/bank-statement-loans-self-employed-2026,0,27,0,14.555555555555555
https://www.mothebroker.com/blog/cash-out-refinance-how-it-works-2026,0,11,0,23.90909090909091
https://www.mothebroker.com/blog/conventional-loans-complete-guide-2026,0,13,0,6.384615384615385
https://www.mothebroker.com/blog/dscr-investment-property-loans-2026,0,45,0,7.977777777777778
https://www.mothebroker.com/blog/fha-loans-orange-county-2026,0,16,0,14.5
https://www.mothebroker.com/blog/hecm-for-purchase-2026,0,1,0,11
https://www.mothebroker.com/blog/hecm-pros-cons-2026,0,1,0,56
https://www.mothebroker.com/blog/hecm-vs-heloc-seniors-2026,0,2,0,11.5
https://www.mothebroker.com/blog/heloan-vs-cash-out-refinance-2026,0,11,0,6.818181818181818
https://www.mothebroker.com/blog/heloc-complete-guide-2026,0,6,0,7.833333333333333
https://www.mothebroker.com/blog/heloc-vs-cash-out-refinance-2026,0,3,0,8.333333333333332
https://www.mothebroker.com/blog/heloc-vs-home-equity-loan-2026,0,2,0,4.5
https://www.mothebroker.com/blog/hermosa-beach-mortgage-guide-2026,0,2,0,9.5
https://www.mothebroker.com/blog/home-equity-bellevue-wa-2026,0,1,0,19
https://www.mothebroker.com/blog/home-equity-laguna-beach-2026,0,1,0,11
https://www.mothebroker.com/blog/home-equity-mercer-island-2026,0,2,0,13.5
https://www.mothebroker.com/blog/home-equity-newport-beach-2026,0,4,0,9.75
https://www.mothebroker.com/blog/how-does-heloc-work-2026,0,3,0,6
https://www.mothebroker.com/blog/jumbo-loans-orange-county-2026,0,22,0,11.772727272727273
https://www.mothebroker.com/blog/ladera-ranch-mortgage-guide-2026,0,13,0,10
https://www.mothebroker.com/blog/lake-forest-mortgage-guide-2026,0,4,0,7
https://www.mothebroker.com/blog/mission-viejo-mortgage-guide-2026,0,12,0,14.666666666666666
https://www.mothebroker.com/blog/newport-coast-mortgage-guide-2026,0,29,0,8.241379310344827
https://www.mothebroker.com/blog/non-qm-loans-complete-guide-2026,0,18,0,5.388888888888889
https://www.mothebroker.com/blog/proprietary-reverse-mortgage-2026,0,3,0,7.333333333333333
https://www.mothebroker.com/blog/rancho-santa-margarita-mortgage-guide-2026,0,23,0,9.08695652173913
https://www.mothebroker.com/blog/reverse-mortgage-requirements-2026,0,9,0,19.22222222222222
https://www.mothebroker.com/blog/san-juan-capistrano-mortgage-guide-2026,0,1,0,9
https://www.mothebroker.com/blog/seal-beach-mortgage-guide-2026,0,2,0,45.5
https://www.mothebroker.com/blog/self-employed-mortgage-broker-2026,0,1,0,4
https://www.mothebroker.com/blog/tustin-mortgage-guide-2026,0,5,0,11.2
https://www.mothebroker.com/blog/va-loan-benefits-guide-2026,0,6,0,9.5
https://www.mothebroker.com/blog/villa-park-mortgage-guide-2026,0,6,0,10.166666666666666
https://www.mothebroker.com/blog/what-can-you-use-home-equity-for-2026,0,1,0,5
https://www.mothebroker.com/blog/wholesale-vs-retail-mortgage-brokers-2026,0,74,0,28.87837837837838
https://www.mothebroker.com/blog/yorba-linda-mortgage-guide-2026,0,22,0,10.045454545454545
https://www.mothebroker.com/calculator/debt-to-income,0,2,0,3
https://www.mothebroker.com/guides,0,9,0,6.888888888888889
https://www.mothebroker.com/guides/definitive-orange-county-mortgage-guide,0,55,0,5.418181818181818
https://www.mothebroker.com/guides/fha-loans-orange-county-complete-guide,0,16,0,21.625
https://www.mothebroker.com/guides/mortgage-broker-vs-bank-complete-comparison,0,107,0,54.8411214953271
https://www.mothebroker.com/guides/orange-county-market-forecast-2025-2026,0,1,0,5
https://www.mothebroker.com/guides/orange-county-va-loans,0,2,0,54.5
https://www.mothebroker.com/guides/summer-2025-market-guide,0,70,0,7.828571428571428
https://www.mothebroker.com/heloan-orange-county,0,1,0,6
https://www.mothebroker.com/heloc-specialist-orange-county,0,48,0,8.291666666666668
https://www.mothebroker.com/jumbo-loans-orange-county,0,20,0,8.85
https://www.mothebroker.com/loan-programs,0,2,0,1
https://www.mothebroker.com/loan-programs/profit-loss-statement-loans,0,2,0,2
https://www.mothebroker.com/luxury-markets,0,66,0,2.1969696969696972
https://www.mothebroker.com/neighborhood-guide/huntington-beach-vs-costa-mesa-home-buying-guide,0,184,0,10.309782608695652
https://www.mothebroker.com/neighborhood-guide/mission-viejo-vs-irvine-home-buying-guide,0,4,0,4.25
https://www.mothebroker.com/orange-county-conventional-loans,0,4,0,7.5
https://www.mothebroker.com/orange-county-fha-loans,0,2,0,4
https://www.mothebroker.com/resources/credit-repair,0,25,0,8.36
https://www.mothebroker.com/self-employed-home-loans-california,0,3,0,10.666666666666666
https://www.mothebroker.com/zip-codes/92625-corona-del-mar-mortgage-broker,0,46,0,10.826086956521738